split,image,frame,nearest_train_by_frame,frame_gap,nearest_train_by_look,hash_distance
valid,frame_with_red_1122_jpg.rf.4913737f017e30a490b688f3b3f882d3.jpg,1122,frame_with_red_1123_jpg.rf.4e926fbfefea4dc20fb2a0b1435d3962.jpg,1,frame_with_red_792_jpg.rf.1eb44ff0bda623603cd864d4e9b30c6c.jpg,15
valid,frame_with_red_1126_jpg.rf.7d0d46a9d44c085d52865d2915db1a6e.jpg,1126,frame_with_red_1127_jpg.rf.7d930b722ae42c71f7882a2fd235d885.jpg,1,frame_with_red_6206_jpg.rf.1023bcdb96d3b0dc939049f9e973184c.jpg,16
valid,frame_with_red_1134_jpg.rf.f48dd689aaadc622862a90b0312036ed.jpg,1134,frame_with_red_1133_jpg.rf.b6f3b7ef7211fb661f50fd892ef49e19.jpg,1,frame_with_red_10490_jpg.rf.c6857ec3d3db429a3758072b84f85192.jpg,26
valid,frame_with_red_1177_jpg.rf.3d63281bfa26b95862637d032fc1739a.jpg,1177,frame_with_red_1175_jpg.rf.f72d4461408b6951e0703365374202d8.jpg,2,frame_with_red_4390_jpg.rf.9e19dcfb5597e774fab528d137a2faa3.jpg,24
valid,frame_with_red_1195_jpg.rf.7ddeb6a41117242dc00ca1fe0b7c294d.jpg,1195,frame_with_red_1191_jpg.rf.44deeac77632b5747069252d203de86c.jpg,4,frame_with_red_6806_jpg.rf.b4f9e624027f5447d25abd53a886a9c4.jpg,26
valid,frame_with_red_1223_jpg.rf.38674252b17218fb1480a2fda5bdc31e.jpg,1223,frame_with_red_1229_jpg.rf.a54d1a8ba0ed01f3916e73c63849b3ba.jpg,6,frame_with_red_2223_jpg.rf.df4395409df500b89a40fafa9ee2e858.jpg,19
valid,frame_with_red_1232_jpg.rf.d76ab003a5147400e3ca581500081aa8.jpg,1232,frame_with_red_1231_jpg.rf.8bd09795f2ba76d3b8a829f948eaeab6.jpg,1,frame_with_red_2699_jpg.rf.1a21f4e2c79edea5cea223305f00c45a.jpg,25
valid,frame_with_red_1308_jpg.rf.c8a8e93c35f2fed1d5e15e3255d01b81.jpg,1308,frame_with_red_1312_jpg.rf.226c05a0a51996614d298b61a41941f0.jpg,4,frame_with_red_5263_jpg.rf.6ccb680c8bb7c7cb185aed730cb4ddac.jpg,12
valid,frame_with_red_1327_jpg.rf.8cad0c8be9fbfaf76c792d0ff6ea7eb2.jpg,1327,frame_with_red_1323_jpg.rf.aa676f0116db7303fb9935c2ea184c25.jpg,4,frame_with_red_8832_jpg.rf.5fe7afc7ed12152930a528cef2084900.jpg,18
valid,frame_with_red_132_jpg.rf.75df740a596ddc6a75c6f11eb90a08bb.jpg,132,frame_with_red_133_jpg.rf.ea4d55953025fa973860ab9ac85dc018.jpg,1,frame_with_red_2265_jpg.rf.05a3cffec77c71d6b88713e747c6aaa9.jpg,21
